country,date,bbcost1,bbcost2,bbcost3,bbcost4,bbcost5,bbcost1n,bbcost2n,bbcost3n,bbcost4n,bbcost5n
AFG,2014-07-01,0.67,4.5,6.79,,,0.63,0.92,1,,
DZA,2014-07-01,0.05,0.13,0.29,,,0.3,0.4,0.56,,
AGO,2014-07-01,0.22,0.17,,,,0.49,0.45,,,
ARG,2014-07-01,,,,,,,,,,
AUS,2014-07-01,0.02,,,0.02,0.02,0.17,,,0.16,0.08
AUT,2014-07-01,,,0.01,0.01,0.01,,,0.03,0.07,0.04
AZE,2014-07-01,0.09,0.32,0.66,,,0.38,0.54,0.67,,
BGD,2014-07-01,0.57,1.26,,,,0.61,0.73,,,
BLR,2014-07-01,0.01,0.03,,,,0.14,0.19,,,
BEL,2014-07-01,,,,,0.01,,,,,0.04
BEN,2014-07-01,0.91,2.65,,,,0.67,0.84,,,
BOL,2014-07-01,0.22,0.67,1.57,,,0.49,0.64,0.79,,
BRA,2014-07-01,0.03,0.03,0.05,0.05,0.13,0.23,0.21,0.3,0.35,0.43
BGR,2014-07-01,,,,0.02,0.03,,,,0.18,0.17
BFA,2014-07-01,0.96,4.36,,,,0.68,0.91,,,
BDI,2014-07-01,12.38,,,,,1,,,,
KHM,2014-07-01,0.51,1.12,1.51,,,0.6,0.72,0.79,,
CMR,2014-07-01,1.74,2.4,,,,0.75,0.83,,,
CAN,2014-07-01,,,0.02,0.02,0.03,,,0.16,0.17,0.15
CHL,2014-07-01,0.02,0.03,0.03,0.04,0.06,0.17,0.18,0.25,0.31,0.3
CHN,2014-07-01,,,0.03,0.05,,,,0.25,0.35,
COL,2014-07-01,0.04,0.05,0.09,,,0.27,0.26,0.39,,
CZE,2014-07-01,,0.01,0.01,0.01,0.02,,0.07,0.1,0.15,0.08
DNK,2014-07-01,,,0.01,0.01,0.01,,,0.05,0.06,0
DOM,2014-07-01,0.04,0.09,0.19,0.5,1.03,0.28,0.35,0.5,0.74,0.8
ECU,2014-07-01,,0.06,0.1,0.22,,,0.29,0.41,0.6,
EGY,2014-07-01,0.06,0.13,0.18,0.69,1.05,0.33,0.41,0.49,0.79,0.8
SLV,2014-07-01,0.06,0.11,0.15,,,0.33,0.38,0.46,,
ETH,2014-07-01,0.73,1.07,,,,0.64,0.71,,,
FIN,2014-07-01,,,0.01,0.01,0.01,,,0.07,0.08,0.01
FRA,2014-07-01,,,0.01,0.01,,,,0.06,0,
DEU,2014-07-01,0.01,,0.01,0.01,0.02,0.09,,0.07,0.09,0.07
GHA,2014-07-01,0.74,,,,,0.64,,,,
GRC,2014-07-01,,0.02,,0.02,0.03,,0.17,,0.19,0.14
GTM,2014-07-01,0.09,0.17,0.28,,,0.38,0.45,0.55,,
HTI,2014-07-01,1.34,2.12,,,,0.72,0.81,,,
HND,2014-07-01,0.12,0.23,0.3,,,0.41,0.49,0.56,,
HKG,2014-07-01,,,,,0.01,,,,,0.03
HUN,2014-07-01,,,0.02,0.03,0.03,,,0.2,0.26,0.19
IND,2014-07-01,,0.13,0.26,0.29,0.44,,0.4,0.54,0.65,0.65
IDN,2014-07-01,0.15,0.18,0.14,0.26,0.74,0.44,0.46,0.45,0.63,0.74
IRN,2014-07-01,0.03,0.09,0.04,,,0.25,0.36,0.27,,
ISR,2014-07-01,,,,0.01,0.01,,,,0.08,0.03
ITA,2014-07-01,,,0.01,0.01,0.02,,,0.05,0.12,0.1
CIV,2014-07-01,0.38,0.86,0.9,,,0.56,0.68,0.72,,
JPN,2014-07-01,0.01,,0.01,0.01,0.01,0.1,,0.1,0.08,0.04
JOR,2014-07-01,0.05,0.09,0.19,0.13,,0.31,0.35,0.5,0.51,
KEN,2014-07-01,0.63,1.1,0.86,1.53,,0.62,0.71,0.71,0.93,
KGZ,2014-07-01,0.54,,,2.35,0.29,0.6,,,1,0.57
LAO,2014-07-01,0.38,1.14,0.6,,,0.56,0.72,0.66,,
LBY,2014-07-01,,,,,,,,,,
MDG,2014-07-01,1.63,,,,,0.74,,,,
MYS,2014-07-01,0.04,0.06,0.06,0.08,0.1,0.27,0.31,0.33,0.43,0.38
MLI,2014-07-01,1.02,,,,,0.68,,,,
MEX,2014-07-01,,0.03,0.05,0.05,0.1,,0.17,0.32,0.36,0.37
MAR,2014-07-01,,0.05,0.07,0.17,,,0.26,0.36,0.56,
NPL,2014-07-01,0.26,,0.32,,,0.51,,0.57,,
NLD,2014-07-01,,,0.01,0.01,0.02,,,0.07,0.09,0.06
NIC,2014-07-01,0.14,0.26,0.38,,,0.44,0.51,0.6,,
NER,2014-07-01,2.37,8.09,,,,0.79,1,,,
NGA,2014-07-01,0.58,0.92,,,,0.61,0.69,,,
PAK,2014-07-01,0.12,0.19,0.63,0.87,2.19,0.41,0.46,0.67,0.83,0.93
