country,date,bbcost1,bbcost2,bbcost3,bbcost4,bbcost5
AFG,2016-12-01,0.497332101,2.994311631,5.181271781,,
AGO,2016-12-01,0.368731132,0.32588135,,,
ARE,2016-12-01,0.01561436,0.026804399,0.026804399,,0.219491991
AUS,2016-12-01,0.016641894,,,0.016617646,0.019938567
AUT,2016-12-01,,,0.007237493,0.008008872,0.012502537
AZE,2016-12-01,0.085503352,0.294990556,0.614330805,,
BEL,2016-12-01,,,,,0.014353688
BEN,2016-12-01,0.888358486,2.454865517,,,
BFA,2016-12-01,0.894608971,4.054316163,,,
BGD,2016-12-01,0.437719321,0.67037167,,,
BGR,2016-12-01,,,,0.017549379,0.028667709
BLR,2016-12-01,0.011404687,0.02006188,0.02509031,,
BOL,2016-12-01,0.188684646,0.456771312,0.990202443,2.306171791,5.854194801
BRA,2016-12-01,0.030409739,0.028048266,0.037246311,0.047867039,0.141426107
CAN,2016-12-01,,,0.017297731,0.017143104,0.022659149
CHE,2016-12-01,0.005155648,0.008188381,0.011221115,0.00839267,0.01740268
CHL,2016-12-01,,0.022667566,0.03023686,0.035266257,0.055493277
CHN,2016-12-01,,,0.027010577,0.034615433,0.052654507
CIV,2016-12-01,0.286679586,0.648976479,0.646975169,,
CMR,2016-12-01,1.524181203,4.832155656,,,
COL,2016-12-01,0.026198764,0.038464652,0.066088331,0.066652326,0.365609386
CZE,2016-12-01,,0.010916426,0.01310993,0.013106281,0.017000572
DEU,2016-12-01,,,0.008513264,0.009752167,0.014067329
DNK,2016-12-01,,,0.006953163,0.008315265,0.011094609
DOM,2016-12-01,0.011012631,0.01963343,0.043405472,0.055432419,0.105523889
DZA,2016-12-01,0.365604802,1.025016234,,3.201777456,
ECU,2016-12-01,,0.041219325,0.073500022,0.169793045,0.343138391
EGY,2016-12-01,0.054146661,0.119063564,0.127398835,0.554234559,0.825086887
ESP,2016-12-01,,,0.012528552,0.008402663,0.018341478
ETH,2016-12-01,0.931411426,4.195445614,,,
FIN,2016-12-01,,,0.009031038,0.009707419,0.010519076
FRA,2016-12-01,,,0.012420541,0.008384504,0.013516793
GBR,2016-12-01,,,,0.002835766,0.013162381
